"state","county","trump","clinton","romney","obama","voting_population","white_pct","black_pct","hispanic_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_income","lesscollege_pct","rural_pct"
"Alabama","Autauga",18172,5936,17379,6363,40690,75.6834819887736,18.3709059201802,2.57225381024178,1.83836218641574,51.1762248178895,40.0370578938764,13.9784555577758,53099,75.4072286513465,42.0021623206465
"Alabama","Baldwin",72883,18458,66016,18424,151770,83.1787880306752,9.22560272668037,4.36669841110721,3.26951030023558,51.1949275725528,35.4744123101599,18.7148513858954,51365,70.4528889714604,42.2790991139275
"Alabama","Barbour",5454,4871,5550,5912,20375,45.8856241076125,47.8883294506651,4.30976177951454,2.85939730968663,46.4980837153378,37.6643871646502,16.5288945667694,33956,87.1322129765595,67.7896347015333
"Alabama","Bibb",6738,1874,6132,2202,17590,74.7651958178274,21.2121212121212,2.22399432925749,1.35123161438951,46.4646464646465,37.3294346978558,14.8856990962254,39776,88,68.3526074623609
"Alabama","Blount",22859,2156,20757,2970,42430,87.6577013725218,1.55795092194649,8.72729793428532,4.27180091501456,50.4852349923749,37.2400526826563,17.1929155691113,46212,86.950243210377,89.9515020411012
"Alabama","Bullock",1140,3530,1251,4061,8195,21.683093252464,75.5022744503412,0.123199393479909,1.51630022744503,45.8017437452616,37.9359363153904,15.1345716451857,29335,89.744988408564,51.3743815283123
"Alabama","Butler",4901,3726,5087,4374,15425,52.7810650887574,43.5157790927022,1.24753451676529,1.39546351084813,53.0473372781065,37.0562130177515,18.1262327416174,34315,83.9199942648219,71.2321573495011
"Alabama","Calhoun",32865,13242,30278,15511,88525,72.9977649870991,20.3317138838311,3.43622446778216,2.393793740238,51.8980350871137,38.7830829371004,15.9307232294642,41954,82.3470334727502,33.6968255574672
"Alabama","Chambers",7843,5784,7626,6871,26480,56.7434887412546,40.4785701687342,0.435063789758363,0.990652007760597,52.0871303427597,35.8721853136575,18.387324357693,36027,87.515720633856,49.1480344877978
"Alabama","Cherokee",8953,1547,7506,2132,20505,91.8716453643279,4.60671120206974,1.56388770900104,0.725952813067151,50.2529250492335,32.7103525504885,20.3228173147469,38925,86.0383010591634,85.7362730385933
"Alabama","Chilton",15081,2911,13932,3397,31555,80.6102654220964,10.0098135426889,7.62489444736061,5.55720382499943,50.7976356208777,38.8342424173266,15.2497888947212,42594,85.1454514881453,86.7447242398552
"Alabama","Choctaw",4106,3109,4152,3786,10515,56.2053134642884,42.2292466320464,0.55693535034244,0.165575374426131,52.2164521712953,33.4010687137804,20.7496048769474,32622,88.0397967823878,100
"Alabama","Clarke",7140,5749,7470,6334,19195,53.1774459693323,45.4944258864249,0.173059121825573,0.466857165855033,52.7588843723588,36.6040165814786,18.0625427617016,32735,87.8627658324521,75.980335230132
"Alabama","Clay",5245,1237,4817,1777,10360,80.2640361937254,14.7444930653415,3.10761699918416,1.89127048876363,51.5538084995921,34.8438774753393,19.4022101906104,38815,88.9371162396782,100
"Alabama","Cleburne",5764,684,5272,971,11295,92.7956774064439,2.36141685011007,2.32806350476953,1.74771529584417,50.4836235074378,36.1416850110066,18.1642318724568,36316,88.4719274551418,100
"Alabama","Coffee",15875,4221,14666,4925,37955,71.3714184856151,17.0049616599008,6.55802004275264,3.73791453393736,50.5599027279324,38.4813006216783,15.7831774234669,47872,76.3332755532443,47.1950828862016
"Alabama","Colbert",16746,7312,13936,9166,42235,78.8531916067455,15.6481600676757,2.40175074020266,1.56132188241352,51.687294260441,35.5885760523751,18.4526546150027,43786,81.5290951373102,43.8946865583891
"Alabama","Conecuh",3420,3080,3439,3555,9825,50.7206426714972,46.2156414901158,1.76419626683469,0.850594628652438,52.524218319288,35.6540915176813,20.2646294400252,27609,91.3374205267938,80.9495010583611
"Alabama","Coosa",3381,1782,3049,2191,8755,65.0220913107511,32.3637702503682,1.28865979381443,1.25184094256259,50.7087628865979,31.0843151693667,18.6671575846834,31910,90.0594410016441,100
"Alabama","Covington",13267,2387,12153,3158,29295,83.5140077924143,12.9767552810835,1.5319780540168,0.954173182432612,51.7108855257229,35.3441649659413,20.1781123273874,37313,85.0785142684584,69.6517939891434
"Alabama","Crenshaw",4513,1664,4331,2050,10535,70.8693149107657,23.6758779504894,1.6839378238342,2.28842832469775,50.61168681635,36.8955094991364,17.5086355785838,37557,85.352319128887,100
"Alabama","Cullman",32989,3798,28999,5052,61625,92.4639677308279,1.03669634512273,4.21319297555217,2.83339072261302,50.5632347877416,36.9324610162822,17.7517339760933,39297,85.0309820144523,73.2395592368729
"Alabama","Dale",13808,4413,13108,5286,37405,70.1917068155704,19.4025036789163,5.8882818957002,2.74558026085028,50.726711955974,39.982260568065,15.4292740943818,44093,83.9313011419836,50.8885395315516
"Alabama","Dallas",5789,12836,6288,14612,30615,28.0693284410757,69.4974170810602,0.958335344952445,1.47250518997731,53.8260995510066,40.6990778737991,15.6761454159224,28136,86.2156964272505,45.6389776357827
