party,post_id,shares,likes,total_interactions,ad_group
AfD,540404695989874_2403168219713503,335,1109,1678,not sponsored
AfD,540404695989874_2406201756076816,3351,1280,10211,not sponsored
AfD,540404695989874_2396640110366314,668,1361,2212,high
AfD,540404695989874_2401505273213131,2357,752,7956,not sponsored
AfD,540404695989874_2239030886163866,870,2302,6575,not sponsored
AfD,540404695989874_2390252524338406,3186,980,9123,not sponsored
AfD,540404695989874_2395289997167992,1763,1498,4948,not sponsored
AfD,540404695989874_2397752170255108,2711,4813,8430,not sponsored
AfD,540404695989874_2401345086562483,4074,1331,14480,not sponsored
AfD,540404695989874_2396672683696390,704,1124,1997,middle
AfD,540404695989874_2396404110389914,1073,884,5818,not sponsored
AfD,540404695989874_2398043566892635,1472,2205,4028,not sponsored
AfD,540404695989874_2389724124391246,1988,8282,11160,not sponsored
AfD,540404695989874_2389754294388229,2977,13136,18521,not sponsored
AfD,540404695989874_2389821077714884,4479,1496,9549,not sponsored
AfD,540404695989874_2391955957501396,531,2256,3053,not sponsored
AfD,540404695989874_2399648636732128,1159,4267,6023,not sponsored
AfD,540404695989874_2388940047802987,5430,963,13104,not sponsored
AfD,540404695989874_290722075194144,648,2230,5610,not sponsored
AfD,540404695989874_2402888226408169,4360,1642,11364,not sponsored
AfD,540404695989874_2393018244061834,763,4383,6184,not sponsored
AfD,540404695989874_2383520688344923,2526,2210,5219,high
AfD,540404695989874_2383421301688195,3697,1001,10249,not sponsored
AfD,540404695989874_2381998755163783,854,1118,2575,not sponsored
AfD,540404695989874_2394682287228763,2855,1830,7746,not sponsored
AfD,540404695989874_2391740244189634,1068,434,3875,not sponsored
AfD,540404695989874_2397781160252209,612,1235,2449,not sponsored
AfD,540404695989874_2384989688198023,3619,7679,12605,not sponsored
AfD,540404695989874_2140124992704028,2125,4629,15774,not sponsored
AfD,540404695989874_2391387427558249,673,787,2995,not sponsored
AfD,540404695989874_2381816731848652,5017,1983,12118,not sponsored
AfD,540404695989874_2385336304830028,319,1050,1516,not sponsored
AfD,540404695989874_2383586568338335,514,339,1931,not sponsored
AfD,540404695989874_2385027378194254,1521,548,6669,not sponsored
AfD,540404695989874_2393592107337781,1061,1957,3304,not sponsored
AfD,540404695989874_2366368430060149,1534,3257,5053,not sponsored
AfD,540404695989874_2381960648500927,1679,5771,8525,not sponsored
AfD,540404695989874_2385597494803909,193,993,1292,not sponsored
AfD,540404695989874_2371043029592689,5595,1295,13681,not sponsored
AfD,540404695989874_2370331529663839,935,2901,6468,not sponsored
AfD,540404695989874_2357793354250990,1059,2542,4025,not sponsored
AfD,540404695989874_2380360971994228,1503,1599,4750,not sponsored
AfD,540404695989874_2380146682015657,1768,2735,5467,not sponsored
AfD,540404695989874_2381723151858010,633,1671,2613,not sponsored
AfD,100001812953461_2381841601846165,0,0,0,not sponsored
AfD,540404695989874_2372131246150534,1782,346,4155,not sponsored
AfD,540404695989874_2371963099500682,2294,1837,9674,not sponsored
AfD,540404695989874_2370541246309534,5104,1696,13639,not sponsored
